"NOME_CONGLOMERADO","CLASSE_","CNPJ","NOME_INSTITUIÇÃO_PARTICIPANTE","TIPO_PARTICIPAÇÃO_","DATA_INÍCIO","ESTADO","ano","mes","tipo"
"ABC-BRASIL                                                  ","Privado Nacional com Controle Estrangeiro                   ","28195667.000000","BANCO ABC BRASIL S.A.                                                                                                                                                                                   ","LIDER                                                       ","32295.000000","SP","2011","07","conglomerados"
"ABC-BRASIL                                                  ","Privado Nacional com Controle Estrangeiro                   ","33817677.000000","ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                                          ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
"ABC-BRASIL                                                  ","Privado Nacional com Controle Estrangeiro                   ","59494443.000000","ABC HOLDINGS LIMITADA                                                                                                                                                                                   ","HOLDING NÃO IF                                              ","35794.000000","SP","2011","07","conglomerados"
"ALFA                                                        ","Privado Nacional                                            ","60770336.000000","BANCO ALFA DE INVESTIMENTO S.A.                                                                                                                                                                         ","LIDER                                                       ","38152.000000","SP","2011","07","conglomerados"
"ALFA                                                        ","Privado Nacional                                            ","46570800.000000","ALFA ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                                        ","PARTICIPANTE                                                ","36100.000000","SP","2011","07","conglomerados"
"ALFA                                                        ","Privado Nacional                                            ","62178421.000000","ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.                                                                                                                                                     ","PARTICIPANTE                                                ","36100.000000","SP","2011","07","conglomerados"
"ALFA                                                        ","Privado Nacional                                            ","3323840.000000","BANCO ALFA S.A.                                                                                                                                                                                         ","PARTICIPANTE                                                ","38152.000000","SP","2011","07","conglomerados"
"ALFA                                                        ","Privado Nacional                                            ","17167412.000000","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                                                                                                                                           ","PARTICIPANTE                                                ","36100.000000","SP","2011","07","conglomerados"
"ALFA                                                        ","Privado Nacional                                            ","4590759.000000","AFL ADMINISTRACAO, PARTICIPACOES E REPRESENTACOES LTDA.                                                                                                                                                 ","HOLDING NÃO IF                                              ","37119.000000","SP","2011","07","conglomerados"
"APLICAP                                                     ","Privado Nacional                                            ","33861840.000000","BANCO APLICAP S.A.                                                                                                                                                                                      ","LIDER/HOLDING                                               ","33086.000000","RJ","2011","07","conglomerados"
"APLICAP                                                     ","Privado Nacional                                            ","36210052.000000","APLICAP S.A. CORRETORA DE VALORES MOBILIARIOS                                                                                                                                                           ","PARTICIPANTE                                                ","33086.000000","RJ","2011","07","conglomerados"
"BANCOOB                                                     ","Privado Nacional                                            ","2038232.000000","BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB                                                                                                                                                              ","LIDER                                                       ","40560.000000","DF","2011","07","conglomerados"
"BANCOOB                                                     ","Privado Nacional                                            ","7397614.000000","BANCOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                                                                                                                                            ","PARTICIPANTE                                                ","40560.000000","DF","2011","07","conglomerados"
"BANESTES                                                    ","Público Estadual                                            ","28127603.000000","BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO                                                                                                                                                         ","LIDER/HOLDING                                               ","32295.000000","ES","2011","07","conglomerados"
"BANESTES                                                    ","Público Estadual                                            ","28156057.000000","BANESTES DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S/A                                                                                                                                             ","PARTICIPANTE                                                ","32295.000000","ES","2011","07","conglomerados"
"BANIF                                                       ","Privado Nacional com Controle Estrangeiro                   ","33884941.000000","BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.                                                                                                                                                   ","LIDER/HOLDING                                               ","36367.000000","SP","2011","07","conglomerados"
"BANIF                                                       ","Privado Nacional com Controle Estrangeiro                   ","33753740.000000","BANIF BANCO DE INVESTIMENTO (BRASIL) S.A.                                                                                                                                                               ","PARTICIPANTE                                                ","32650.000000","SP","2011","07","conglomerados"
"BANIF                                                       ","Privado Nacional com Controle Estrangeiro                   ","7554076.000000","BANIF CORRETORA DE VALORES E CAMBIO S.A.                                                                                                                                                                ","PARTICIPANTE                                                ","38531.000000","SP","2011","07","conglomerados"
"BANORTE                                                     ","Privado Nacional                                            ","10781532.000000","BANCO BANORTE S.A.                                                                                                                                                                                      ","LIDER/HOLDING                                               ","32295.000000","PE","2011","07","conglomerados"
"BANORTE                                                     ","Privado Nacional                                            ","34260158.000000","BANORTE LEASING-ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                             ","PARTICIPANTE                                                ","32295.000000","PE","2011","07","conglomerados"
"BANRISUL                                                    ","Público Estadual                                            ","92702067.000000","BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.                                                                                                                                                               ","LIDER/HOLDING                                               ","32295.000000","RS","2011","07","conglomerados"
"BANRISUL                                                    ","Público Estadual                                            ","92692979.000000","BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS                                                                                                                                                            ","PARTICIPANTE                                                ","32295.000000","RS","2011","07","conglomerados"
"BANRISUL                                                    ","Público Estadual                                            ","93026847.000000","BANRISUL S/A - CORRETORA DE VALORES MOBILIARIOS E CAMBIO                                                                                                                                                ","PARTICIPANTE                                                ","32295.000000","RS","2011","07","conglomerados"
"BARCLAYS                                                    ","Privado Nacional com Controle Estrangeiro                   ","61146577.000000","BANCO BARCLAYS S.A.                                                                                                                                                                                     ","LIDER/HOLDING                                               ","40221.000000","SP","2011","07","conglomerados"
"BARCLAYS                                                    ","Privado Nacional com Controle Estrangeiro                   ","11634773.000000","BARCLAYS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                                                ","PARTICIPANTE                                                ","40221.000000","SP","2011","07","conglomerados"
"BB                                                          ","Público Federal                                             ","0.000000","BANCO DO BRASIL S.A.                                                                                                                                                                                    ","LIDER/HOLDING                                               ","32295.000000","DF","2011","07","conglomerados"
